"idVin","nomVin","paysVin","regionVin","nomDomaine","appellation","millesime","cepages","couleurVin","typeVin","clBout","degustation","recompenses","accordMetsVin","mainPhotoVin","codeRegion","codeDomaine","codeAppellation","ListeB1","ListeB2","","","","",""
"259","Macon Villages ""Le Loup""","France","Bourgogne","Domaine Perraud","Macon","2017","","VB","VT","75","","","","","Bour","Perraud","Macon","","","","","","",""
"260","Saint Véran","France","Bourgogne","Domaine Perraud","Macon","2017","","VB","VT","75","","","","","Bour","Perraud","Macon","","","","","","",""
"271","Pouilly Fuissé ""Les Scéllés""","France","Bourgogne","Jacques & Nathalie Saumaize","Pouilly Fuissé","2015","","VB","VT","75","","","","","Bour","Saumaize","P. Fuissé","","","","","","",""
"272","Pouilly Fuissé ""Sur La Roche""","France","Bourgogne","Jacques & Nathalie Saumaize","Pouilly Fuissé","2015","","VB","VT","75","","","","","Bour","Saumaize","P. Fuissé","","","","","","",""
"273","Pouilly Fuissé ""Les Creuzettes""","France","Bourgogne","Jacques & Nathalie Saumaize","Pouilly Fuissé","2015","","VB","VT","75","","","","","Bour","Saumaize","P. Fuissé","","","","","","",""
"274","Pouilly Fuissé ""Les Courtelongs""","France","Bourgogne","Jacques & Nathalie Saumaize","Pouilly Fuissé","2015","","VB","VT","75","","","","","Bour","Saumaize","P. Fuissé","","","","","","",""
"275","Saint Véran ""En Crèches""","France","Bourgogne","Jacques & Nathalie Saumaize","Saint Véran","2016","","VB","VT","75","","","","","Bour","Saumaize","St Véran","","","","","","",""
"291","Chénas","France","Beaujolais","Domaine Céline et Nicolas Hirsch","Chénas","2016","","VR","VT","75","","","","","Beau","Hirsch","Chénas","","","","","","",""
"292","Chénas ""Les Brureaux""","France","Beaujolais","Domaine Céline et Nicolas Hirsch","Chénas","2015","","VR","VT","75","","","","","Beau","Hirsch","Chénas","","","","","","",""
"293","Rosé ""Gris Midi""","France","Beaujolais","Domaine Céline et Nicolas Hirsch","Chénas","","","Vro","VT","75","","","","","Beau","Hirsch","Chénas","","","","","","",""
"311","Moulin à vent - cuvée Tradition","France","Beaujolais","Maison Le Nid","Moulin à vent","2015","","VR","VT","75","","","","","Beau","Nid","Moulin","","","","","","",""
"312","Moulin à vent - La Rochelle","France","Beaujolais","Maison Le Nid","Moulin à vent","2014","","VR","VT","75","","","","","Beau","Nid","Moulin","","","","","","",""
"331","IGP Pays d'Oc - Clos Rogé","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2014","","VR","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"332","IGP Pays d'Oc - Aréni","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2016","","VR","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"333","IGP Pays d'Oc - Passion","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2016","","VB","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"334","IGP Pays d'Oc - Anthus","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2016","","VB","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"335","IGP Pays d'Oc - Passion de Blanc","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2017","","VB","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"336","IGP Pays d'Oc - Anthus","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2017","","VB","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"337","IGP Pays d'Oc - Clos Rogé","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2015","","VR","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"338","IGP Pays d'Oc - Les Combes Cabernet Sauvignon","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2016","","VR","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"339","IGP Pays d'Oc - Anthus","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2018","","VB","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"340","IGP Pays d'Oc - Clos Rogé","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2016","","VR","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"341","IGP Pays d'Oc - Passion de Blanc","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2018","","VB","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"342","IGP Pays d'Oc - Le Faillet Viognier","France","Languedoc","Domaine Grand Chemin","IGP Pays d'Oc","2018","","VB","VT","75","","","","","Lang","Chemin","Oc","","","","","","",""
"351","Champagne Sélection","France","Champagne","Domaine Cuillier","Champagne","","","VB","VM","75","","","","","Cha","Cuillier","Champ","","","","","","",""
"352","Champagne Cuvée Bleue","France","Champagne","Domaine Cuillier","Champagne","","","VB","VM","75","","","","1jIDj65AJ7nlsfkNM9gQu0hvYT8jcmZde","Cha","Cuillier","Champ","","","","","","",""
"353","Champagne Perpétuel (Sélection)","France","Champagne","Domaine Cuillier","Champagne","","","VB","VM","75","","","","","Cha","Cuillier","Champ","","","","","","",""
"354","Champagne Thanétien (Cuvée Bleue)","France","Champagne","Domaine Cuillier","Champagne","","","VB","VM","75","","","","","Cha","Cuillier","Champ","","","","","","",""
"371","Chant d'Eole Brut Blanc de Blancs","Belgique","Wallonie","Chant d'Eole","Vin Mousseux","","","VB","VM","75","","","","","Wal","Eole","VM","","","","","","",""
"391","Côtes de Provence - L'accent","France","Provence","Clos de l'Ours","Provence","2016","","Vro","VT","75","","","","","Prov","Ours","Prov","","","","","","",""
"392","Côtes de Provence - Polaire","France","Provence","Clos de l'Ours","Provence","2017","","Vro","VT","75","","","","","Prov","Ours","Prov","","","","","","",""
"393","Côtes de Provence - Le Chemin","France","Provence","Clos de l'Ours","Provence","2015","","VR","VT","75","","","","","Prov","Ours","Prov","","","","","","",""
"501","Château Peychaud - Bordeaux supérieur","France","Bordeaux","Château Peychaud","Bordeaux Supérieur","2015","","VR","VT","75","","","","","Bord","Peychaud","BordSup","","","","","","",""
